Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-7-12,Vila Mariana,-23.5895,-46.6346,22988,76,58,56,17,20,25,35,26,NORMAL
2018-7-12,Vila Mariana,-23.5895,-46.6346,22988,76,58,56,17,20,25,35,26,NORMAL
2018-7-12,Vila Mariana,-23.5895,-46.6346,22988,76,58,56,17,20,25,35,26,NORMAL
2018-7-15,Campo Belo,-23.6188,-46.6823,25701,86,54,41,24,18,29,2,13,REABASTECER
2018-10-10,Brás,-23.5451,-46.6162,74278,15,47,26,38,1,37,29,37,REABASTECER
2019-4-17,Eucaliptos,-23.61,-46.6686,22482,39,39,17,13,20,4,43,28,REABASTECER
2018-10-13,Brás,-23.5451,-46.6162,72935,73,25,10,26,39,30,15,25,NORMAL
2018-10-18,Brás,-23.5451,-46.6162,70592,28,52,43,13,18,14,41,43,NORMAL
2019-4-27,Eucaliptos,-23.61,-46.6686,24063,25,31,7,33,24,20,2,31,NORMAL
2019-11-2,Hospital São Paulo,-23.5984,-46.6455,26547,68,39,53,36,1,43,10,40,NORMAL
2018-10-26,Brás,-23.5451,-46.6162,74325,37,11,54,31,30,28,43,4,NORMAL
2018-11-2,Brás,-23.5451,-46.6162,72888,55,42,5,12,6,12,22,22,REABASTECER
2019-11-12,Hospital São Paulo,-23.5984,-46.6455,25267,54,42,49,3,5,5,15,41,REABASTECER
2019-11-13,Hospital São Paulo,-23.5984,-46.6455,27488,41,39,42,43,43,43,9,35,NORMAL
2018-11-9,Brás,-23.5451,-46.6162,72405,79,65,23,32,19,33,38,38,NORMAL
2019-5-19,Eucaliptos,-23.61,-46.6686,23838,73,27,51,43,21,39,43,38,NORMAL
2019-5-20,Eucaliptos,-23.61,-46.6686,22086,66,23,41,42,17,39,37,32,NORMAL
2018-11-15,Brás,-23.5451,-46.6162,71414,19,19,53,43,31,16,10,14,NORMAL
2019-5-27,Eucaliptos,-23.61,-46.6686,21886,5,45,65,12,31,11,10,3,REABASTECER
2019-5-30,Eucaliptos,-23.61,-46.6686,22627,66,33,45,38,20,4,43,38,NORMAL
2019-12-10,Hospital São Paulo,-23.5984,-46.6455,25648,41,20,65,42,43,38,32,17,NORMAL
2019-6-23,Eucaliptos,-23.61,-46.6686,23580,86,65,9,4,11,31,32,31,REABASTECER
2018-1-18,Paraíso,-23.57677,-46.63933,74017,7,41,8,21,11,43,25,19,REABASTECER
2019-7-21,Eucaliptos,-23.61,-46.6686,21845,86,5,10,43,34,26,43,1,NORMAL
2019-7-26,Eucaliptos,-23.61,-46.6686,23007,43,44,41,33,23,6,25,29,NORMAL
2019-1-22,Brás,-23.5451,-46.6162,73598,50,63,49,43,4,43,33,14,NORMAL
2018-2-5,Paraíso,-23.57677,-46.63933,73697,17,9,27,41,25,43,4,43,REABASTECER
2019-1-29,Brás,-23.5451,-46.6162,73533,61,19,65,19,24,28,6,22,REABASTECER
2018-2-8,Paraíso,-23.57677,-46.63933,71789,73,56,4,34,11,37,33,35,REABASTECER
2018-2-11,Paraíso,-23.57677,-46.63933,71207,38,28,48,29,43,32,15,21,NORMAL
2019-2-10,Brás,-23.5451,-46.6162,74436,37,12,65,28,22,35,38,19,NORMAL
2019-8-24,Eucaliptos,-23.61,-46.6686,21889,28,10,48,35,43,20,43,7,NORMAL
2018-2-29,Paraíso,-23.57677,-46.63933,70963,33,48,50,17,20,21,24,39,NORMAL
2018-3-5,Paraíso,-23.57677,-46.63933,70200,59,12,65,9,38,7,43,15,NORMAL
2019-3-2,Brás,-23.5451,-46.6162,74147,86,4,38,43,26,4,43,28,REABASTECER
2018-3-16,Paraíso,-23.57677,-46.63933,71156,36,13,55,25,32,14,37,6,REABASTECER
2019-9-23,Eucaliptos,-23.61,-46.6686,24458,86,29,51,4,16,29,10,6,REABASTECER
2018-3-26,Paraíso,-23.57677,-46.63933,70088,28,11,57,29,31,17,38,11,NORMAL
2019-9-28,Eucaliptos,-23.61,-46.6686,23398,41,65,24,35,38,8,34,25,NORMAL
2019-10-6,Eucaliptos,-23.61,-46.6686,23240,53,6,33,15,9,18,8,31,REABASTECER
2018-4-11,Paraíso,-23.57677,-46.63933,71579,57,52,24,32,10,15,26,29,NORMAL
2019-10-14,Eucaliptos,-23.61,-46.6686,24448,64,15,43,36,23,34,26,39,NORMAL
2018-4-30,Paraíso,-23.57677,-46.63933,71901,31,65,13,24,14,5,39,35,NORMAL
2019-11-2,Eucaliptos,-23.61,-46.6686,25304,67,49,65,20,38,29,5,10,REABASTECER
2018-5-7,Paraíso,-23.57677,-46.63933,70628,59,26,31,43,31,23,10,2,REABASTECER
2019-5-3,Brás,-23.5451,-46.6162,71786,75,56,12,42,19,33,4,19,NORMAL
2019-11-12,Eucaliptos,-23.61,-46.6686,22527,70,65,58,31,43,37,8,10,NORMAL
2018-5-17,Paraíso,-23.57677,-46.63933,72460,50,19,25,15,35,32,15,6,NORMAL
2019-5-21,Brás,-23.5451,-46.6162,70977,78,16,16,29,32,22,9,24,NORMAL
2019-11-29,Eucaliptos,-23.61,-46.6686,24761,79,11,65,21,10,25,24,23,NORMAL
2019-12-3,Eucaliptos,-23.61,-46.6686,23786,32,54,44,16,36,19,12,6,NORMAL
2019-6-2,Brás,-23.5451,-46.6162,71741,53,3,8,29,36,29,17,24,REABASTECER
